                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5061,                 2.1521,                 1.4973,                0.84662,                0.75258,                0.83552,                0.43965,                 1.1043,                 2.3093,                 1.1713,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.5499,                 1.4258,                  1.545,                0.82624,                0.72965,                0.81564,                0.43725,                  1.132,                 1.8294,                 1.2104,              0.0066437,              0.0066437,              0.0066437
                      3,                 1.6444,                 1.5057,                  1.634,                   0.82,                0.69582,                0.79395,                0.41813,                 1.1777,                 2.0644,                 1.2776,               0.009933,               0.009933,               0.009933
                      4,                 1.6365,                 1.4697,                 1.6467,                0.85739,                0.76372,                 0.8502,                0.46614,                 1.1117,                 1.6215,                 1.2117,               0.009901,               0.009901,               0.009901
                      5,                 1.5627,                 1.3238,                 1.5861,                 0.8819,                0.78436,                0.86756,                0.48573,                  1.085,                 1.1355,                 1.1823,               0.009901,               0.009901,               0.009901
                      6,                  1.515,                 1.2377,                 1.5494,                0.87526,                0.80934,                0.87994,                0.50399,                 1.0654,                   1.36,                 1.1624,               0.009868,               0.009868,               0.009868
                      7,                 1.4853,                 1.1865,                 1.5309,                0.90096,                0.82564,                0.89979,                0.52979,                 1.0355,                0.97002,                 1.1401,               0.009835,               0.009835,               0.009835
                      8,                 1.4704,                 1.1528,                 1.5145,                0.91576,                 0.8327,                 0.9099,                0.54078,                 1.0214,                0.87458,                   1.12,               0.009802,               0.009802,               0.009802
                      9,                 1.4527,                 1.1193,                 1.4981,                0.91633,                0.83895,                0.91562,                0.54927,                 1.0138,                0.90503,                 1.1144,               0.009769,               0.009769,               0.009769
                     10,                 1.4374,                 1.0933,                 1.4838,                0.92119,                 0.8528,                 0.9193,                0.55362,                0.99381,                0.91164,                 1.0991,               0.009736,               0.009736,               0.009736
                     11,                 1.4195,                 1.0757,                 1.4682,                0.91606,                 0.8528,                0.92172,                0.56067,                0.97996,                0.88393,                 1.0874,               0.009703,               0.009703,               0.009703
                     12,                 1.4166,                 1.0556,                 1.4653,                0.91773,                0.85633,                 0.9219,                0.56677,                0.96726,                0.86828,                 1.0752,                0.00967,                0.00967,                0.00967
                     13,                 1.4077,                 1.0352,                 1.4564,                0.92646,                0.86583,                0.92947,                0.56971,                0.97181,                0.83569,                 1.0772,               0.009637,               0.009637,               0.009637
                     14,                  1.395,                 1.0256,                 1.4469,                0.93192,                 0.8662,                0.92968,                0.57161,                 0.9653,                0.80024,                 1.0706,               0.009604,               0.009604,               0.009604
                     15,                 1.3952,                 1.0211,                 1.4491,                0.92807,                0.86692,                0.93046,                0.57428,                0.96131,                0.81545,                 1.0687,               0.009571,               0.009571,               0.009571
                     16,                 1.3843,                 1.0072,                 1.4368,                0.93416,                0.86313,                0.93158,                0.57869,                0.95594,                0.79145,                 1.0631,               0.009538,               0.009538,               0.009538
